Province/Territory,study level,year 2015,year 2016,year 2017,year 2018,year 2019,year 2020,year 2021,year 2022,year 2023
Province/Territory: Newfoundland and Labrador,study level: Secondary or less,year 2015: 180,year 2016: 310,year 2017: 335,year 2018: 330,year 2019: 375,year 2020: 175,year 2021: 525,year 2022: 840,year 2023: 850
Province/Territory: Newfoundland and Labrador,study level: Post Secondary,year 2015: 1375,year 2016: 1595,year 2017: 1760,year 2018: 1835,year 2019: 2135,year 2020: 1180,year 2021: 2735,year 2022: 3010,year 2023: 3220
Province/Territory: Newfoundland and Labrador,study level: Other Studies,year 2015: 90,year 2016: 85,year 2017: 150,year 2018: 145,year 2019: 115,year 2020: 35,year 2021: 40,year 2022: 50,year 2023: 75
Province/Territory: Newfoundland and Labrador,study level: Education level not stated,year 2015: 0,year 2016: 0,year 2017: 0,year 2018: 0,year 2019: 0,year 2020: 0,year 2021: 0,year 2022: 0,year 2023: 0
Province/Territory: Prince Edward Island,study level: Secondary or less,year 2015: 175,year 2016: 205,year 2017: 270,year 2018: 450,year 2019: 400,year 2020: 290,year 2021: 475,year 2022: 590,year 2023: 750
Province/Territory: Prince Edward Island,study level: Post Secondary,year 2015: 500,year 2016: 760,year 2017: 905,year 2018: 1060,year 2019: 1260,year 2020: 735,year 2021: 1215,year 2022: 1600,year 2023: 1860
Province/Territory: Prince Edward Island,study level: Other Studies,year 2015: 235,year 2016: 215,year 2017: 280,year 2018: 370,year 2019: 240,year 2020: 270,year 2021: 205,year 2022: 225,year 2023: 480
Province/Territory: Prince Edward Island,study level: Education level not stated,year 2015: 0,year 2016: 0,year 2017: 0,year 2018: 0,year 2019: 0,year 2020: 0,year 2021: 0,year 2022: 0,year 2023: 0
Province/Territory: Nova Scotia,study level: Secondary or less,year 2015: 1215,year 2016: 1425,year 2017: 1580,year 2018: 1645,year 2019: 1755,year 2020: 990,year 2021: 1445,year 2022: 2495,year 2023: 3755
Province/Territory: Nova Scotia,study level: Post Secondary,year 2015: 4215,year 2016: 4840,year 2017: 5070,year 2018: 6795,year 2019: 7215,year 2020: 3710,year 2021: 7775,year 2022: 9715,year 2023: 11520
Province/Territory: Nova Scotia,study level: Other Studies,year 2015: 865,year 2016: 805,year 2017: 1215,year 2018: 1580,year 2019: 1445,year 2020: 375,year 2021: 785,year 2022: 955,year 2023: 810
Province/Territory: Nova Scotia,study level: Education level not stated,year 2015: 0,year 2016: 0,year 2017: 5,year 2018: 0,year 2019: 10,year 2020: 0,year 2021: 0,year 2022: 0,year 2023: 10
Province/Territory: New Brunswick,study level: Secondary or less,year 2015: 415,year 2016: 570,year 2017: 725,year 2018: 925,year 2019: 1010,year 2020: 515,year 2021: 1460,year 2022: 1995,year 2023: 2955
Province/Territory: New Brunswick,study level: Post Secondary,year 2015: 1785,year 2016: 1815,year 2017: 1945,year 2018: 2410,year 2019: 3150,year 2020: 1650,year 2021: 4295,year 2022: 5525,year 2023: 7765
Province/Territory: New Brunswick,study level: Other Studies,year 2015: 125,year 2016: 240,year 2017: 245,year 2018: 400,year 2019: 210,year 2020: 105,year 2021: 170,year 2022: 135,year 2023: 205
Province/Territory: New Brunswick,study level: Education level not stated,year 2015: 0,year 2016: 0,year 2017: 0,year 2018: 0,year 2019: 0,year 2020: 0,year 2021: 0,year 2022: 0,year 2023: 5
Province/Territory: Quebec,study level: Secondary or less,year 2015: 2530,year 2016: 2975,year 2017: 3570,year 2018: 3960,year 2019: 5410,year 2020: 3695,year 2021: 6040,year 2022: 6750,year 2023: 9980
Province/Territory: Quebec,study level: Post Secondary,year 2015: 24555,year 2016: 26540,year 2017: 29515,year 2018: 34585,year 2019: 44885,year 2020: 33255,year 2021: 51420,year 2022: 49895,year 2023: 59720
Province/Territory: Quebec,study level: Other Studies,year 2015: 3250,year 2016: 4045,year 2017: 5100,year 2018: 5610,year 2019: 6955,year 2020: 5625,year 2021: 6230,year 2022: 6255,year 2023: 8475
Province/Territory: Quebec,study level: Education level not stated,year 2015: 25,year 2016: 15,year 2017: 15,year 2018: 20,year 2019: 15,year 2020: 15,year 2021: 10,year 2022: 10,year 2023: 15
Province/Territory: Ontario,study level: Secondary or less,year 2015: 21310,year 2016: 24900,year 2017: 29215,year 2018: 30730,year 2019: 33000,year 2020: 20800,year 2021: 24405,year 2022: 31545,year 2023: 45350
Province/Territory: Ontario,study level: Post Secondary,year 2015: 64090,year 2016: 85970,year 2017: 107750,year 2018: 122975,year 2019: 146570,year 2020: 93170,year 2021: 180575,year 2022: 238590,year 2023: 295590
Province/Territory: Ontario,study level: Other Studies,year 2015: 11940,year 2016: 14390,year 2017: 20630,year 2018: 22635,year 2019: 20555,year 2020: 7325,year 2021: 16275,year 2022: 21565,year 2023: 23570
Province/Territory: Ontario,study level: Education level not stated,year 2015: 55,year 2016: 50,year 2017: 55,year 2018: 60,year 2019: 60,year 2020: 40,year 2021: 60,year 2022: 80,year 2023: 100
Province/Territory: Manitoba,study level: Secondary or less,year 2015: 1045,year 2016: 1235,year 2017: 1495,year 2018: 1510,year 2019: 1670,year 2020: 1230,year 2021: 2315,year 2022: 3050,year 2023: 4450
Province/Territory: Manitoba,study level: Post Secondary,year 2015: 5210,year 2016: 6390,year 2017: 7715,year 2018: 9145,year 2019: 9420,year 2020: 6690,year 2021: 9395,year 2022: 10760,year 2023: 13775
Province/Territory: Manitoba,study level: Other Studies,year 2015: 730,year 2016: 1000,year 2017: 1355,year 2018: 1440,year 2019: 1040,year 2020: 540,year 2021: 970,year 2022: 1090,year 2023: 1090
Province/Territory: Manitoba,study level: Education level not stated,year 2015: 5,year 2016: 0,year 2017: 0,year 2018: 5,year 2019: 0,year 2020: 0,year 2021: 5,year 2022: 0,year 2023: 5
Province/Territory: Saskatchewan,study level: Secondary or less,year 2015: 965,year 2016: 995,year 2017: 915,year 2018: 900,year 2019: 1090,year 2020: 845,year 2021: 1320,year 2022: 1940,year 2023: 2880
Province/Territory: Saskatchewan,study level: Post Secondary,year 2015: 2705,year 2016: 3085,year 2017: 3195,year 2018: 4230,year 2019: 4675,year 2020: 2520,year 2021: 4835,year 2022: 6155,year 2023: 8760
Province/Territory: Saskatchewan,study level: Other Studies,year 2015: 265,year 2016: 270,year 2017: 430,year 2018: 655,year 2019: 500,year 2020: 130,year 2021: 255,year 2022: 340,year 2023: 455
Province/Territory: Saskatchewan,study level: Education level not stated,year 2015: 0,year 2016: 5,year 2017: 0,year 2018: 0,year 2019: 0,year 2020: 0,year 2021: 0,year 2022: 5,year 2023: 15
Province/Territory: Alberta,study level: Secondary or less,year 2015: 4135,year 2016: 3925,year 2017: 3895,year 2018: 3965,year 2019: 4610,year 2020: 3225,year 2021: 4870,year 2022: 7225,year 2023: 11860
Province/Territory: Alberta,study level: Post Secondary,year 2015: 8705,year 2016: 10390,year 2017: 10890,year 2018: 12925,year 2019: 14215,year 2020: 8880,year 2021: 17755,year 2022: 20125,year 2023: 28635
Province/Territory: Alberta,study level: Other Studies,year 2015: 1855,year 2016: 2065,year 2017: 1960,year 2018: 1955,year 2019: 1715,year 2020: 825,year 2021: 1175,year 2022: 1285,year 2023: 1580
Province/Territory: Alberta,study level: Education level not stated,year 2015: 10,year 2016: 10,year 2017: 5,year 2018: 5,year 2019: 25,year 2020: 0,year 2021: 10,year 2022: 5,year 2023: 20
Province/Territory: British Columbia,study level: Secondary or less,year 2015: 17365,year 2016: 19325,year 2017: 20135,year 2018: 19690,year 2019: 20130,year 2020: 13365,year 2021: 20895,year 2022: 24095,year 2023: 27710
Province/Territory: British Columbia,study level: Post Secondary,year 2015: 30260,year 2016: 37495,year 2017: 46030,year 2018: 51615,year 2019: 56780,year 2020: 42365,year 2021: 65495,year 2022: 77975,year 2023: 91835
Province/Territory: British Columbia,study level: Other Studies,year 2015: 9815,year 2016: 9620,year 2017: 11145,year 2018: 11245,year 2019: 10000,year 2020: 3865,year 2021: 8330,year 2022: 9200,year 2023: 7905
Province/Territory: British Columbia,study level: Education level not stated,year 2015: 50,year 2016: 40,year 2017: 35,year 2018: 35,year 2019: 35,year 2020: 25,year 2021: 65,year 2022: 35,year 2023: 45
Province/Territory: Yukon,study level: Secondary or less,year 2015: 0,year 2016: 10,year 2017: 15,year 2018: 20,year 2019: 35,year 2020: 35,year 2021: 80,year 2022: 85,year 2023: 140
Province/Territory: Yukon,study level: Post Secondary,year 2015: 25,year 2016: 35,year 2017: 170,year 2018: 55,year 2019: 85,year 2020: 75,year 2021: 115,year 2022: 75,year 2023: 110
Province/Territory: Yukon,study level: Other Studies,year 2015: 10,year 2016: 10,year 2017: 10,year 2018: 0,year 2019: 10,year 2020: 0,year 2021: 0,year 2022: 0,year 2023: 5
Province/Territory: Yukon,study level: Education level not stated,year 2015: 0,year 2016: 0,year 2017: 0,year 2018: 0,year 2019: 0,year 2020: 0,year 2021: 0,year 2022: 0,year 2023: 0
Province/Territory: Northwest Territories,study level: Secondary or less,year 2015: 15,year 2016: 20,year 2017: 20,year 2018: 20,year 2019: 25,year 2020: 15,year 2021: 20,year 2022: 30,year 2023: 35
Province/Territory: Northwest Territories,study level: Post Secondary,year 2015: 5,year 2016: 0,year 2017: 0,year 2018: 0,year 2019: 0,year 2020: 5,year 2021: 10,year 2022: 10,year 2023: 10
Province/Territory: Northwest Territories,study level: Other Studies,year 2015: 0,year 2016: 0,year 2017: 0,year 2018: 0,year 2019: 0,year 2020: 0,year 2021: 0,year 2022: 0,year 2023: 0
Province/Territory: Nunavut,study level: Secondary or less,year 2015: 0,year 2016: 0,year 2017: 0,year 2018: 0,year 2019: 0,year 2020: 0,year 2021: 0,year 2022: 0,year 2023: 0
Province/Territory: Nunavut,study level: Post Secondary,year 2015: 0,year 2016: 0,year 2017: 0,year 2018: 0,year 2019: 0,year 2020: 0,year 2021: 0,year 2022: 0,year 2023: 5
Province/Territory: Nunavut,study level: Other Studies,year 2015: 0,year 2016: 0,year 2017: 0,year 2018: 0,year 2019: 0,year 2020: 0,year 2021: 0,year 2022: 0,year 2023: 0
