Country of Citizenship,2015,2016,2017,2018,2019,2020,2021,2022,2023,first_letter
Cambodia,135,110,70,90,135,80,110,145,195,C
"Cameroon, Federal Republic of",1100,1165,1070,1320,1640,1145,1860,3085,5230,C
Cape Verde Islands,0,0,0,0,0,0,0,0,0,C
Cayman Islands,0,0,0,0,0,0,0,0,5,C
Central African Republic,25,25,40,25,35,10,20,20,45,C
"Chad, Republic of",55,85,45,75,90,55,110,150,185,C
Chile,360,440,490,555,575,475,1425,1445,1400,C
"China, People's Republic of",68350,80525,87290,89200,87675,61010,58380,54160,57440,C
Colombia,1380,1785,2570,3540,4695,3370,7180,10650,9945,C
Comoros,0,5,0,10,10,0,10,20,40,C
"Congo, Democratic Republic of the",470,575,475,850,1330,845,1740,2675,3670,C
"Congo, People's Republic of the",170,165,135,160,175,120,215,225,250,C
Costa Rica,80,90,120,115,120,85,185,205,215,C
Croatia,100,85,65,60,45,35,35,45,30,C
Cuba,75,80,75,95,95,80,180,190,220,C
Curacao,0,0,0,0,0,0,0,0,0,C
Cyprus,10,5,5,5,20,0,20,5,10,C
Czech Republic,115,140,155,160,155,85,260,160,140,C
