Country of Citizenship,2015,2016,2017,2018,2019,2020,2021,2022,2023,first_letter
Macau SAR,195,195,200,225,195,150,115,145,145,M
Macedonia,10,30,10,10,5,10,35,50,35,M
Madagascar,120,180,185,170,210,190,335,425,560,M
Malawi,10,20,20,25,20,15,25,45,45,M
Malaysia,625,655,670,690,655,425,590,645,560,M
"Maldives, Republic of",0,0,0,0,0,0,0,0,0,M
"Mali, Republic of",380,440,425,475,515,470,570,665,960,M
Malta,0,0,0,0,5,0,5,0,5,M
"Marshall Islands, Republic of the",0,0,0,0,0,0,0,0,0,M
Martinique,0,0,0,0,0,0,0,0,0,M
Mauritania,35,30,60,65,65,55,80,80,145,M
Mauritius,390,520,625,620,645,290,640,810,780,M
Mexico,4325,5040,5620,5905,6415,3920,10055,10670,10820,M
"Micronesia, Federated States of",0,0,0,0,0,0,0,0,0,M
Moldova,50,45,50,55,45,20,40,55,65,M
Monaco,5,0,0,0,0,0,0,0,0,M
"Mongolia, People's Republic of",120,165,140,145,150,90,200,260,360,M
"Montenegro, Republic of",5,0,0,0,0,0,50,45,70,M
Morocco,1510,1560,1815,2200,3150,2595,4415,4710,6210,M
Mozambique,5,0,5,5,10,0,30,30,40,M
Myanmar (Burma),25,25,30,40,120,65,225,430,550,M
