Country of Citizenship,2015,2016,2017,2018,2019,2020,2021,2022,2023,first_letter
Taiwan,2410,2875,3145,3475,3670,2325,2350,2760,3285,T
Tajikistan,0,10,15,10,10,10,20,35,70,T
"Tanzania, United Republic of",315,375,390,380,440,335,465,475,555,T
Thailand,835,860,890,995,990,590,1330,2385,2250,T
"Togo, Republic of",295,265,285,295,465,285,350,535,1250,T
Tonga,0,0,0,0,0,0,0,0,0,T
"Trinidad and Tobago, Republic of",220,230,325,395,460,205,445,620,625,T
Tunisia,1075,1200,1230,1305,1530,1390,1935,2590,3195,T
Turkey,1665,2335,3095,3280,3405,2025,4075,3350,3920,T
Turkmenistan,5,5,5,15,10,10,5,0,20,T
Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,T
Tuvalu,0,0,0,0,0,0,0,0,0,T
