Country of Citizenship,2015,2016,2017,2018,2019,2020,2021,2022,2023,first_letter
Afghanistan,95,115,95,80,95,90,80,170,140,A
Albania,115,165,185,245,375,250,305,345,545,A
Algeria,1060,845,1020,1490,2690,2170,3165,5360,7180,A
Andorra,0,0,0,0,0,0,10,5,0,A
Angola,65,80,40,25,120,30,50,75,65,A
Anguilla,0,0,0,0,0,0,0,0,0,A
Antigua and Barbuda,60,80,100,85,80,55,85,75,80,A
Argentina,160,180,200,230,275,190,585,620,530,A
Armenia,20,25,15,15,15,5,55,60,65,A
Aruba,0,0,0,0,0,0,0,0,0,A
Australia,480,490,490,470,415,260,360,360,395,A
Austria,110,150,120,145,135,60,300,235,110,A
Azerbaijan,70,115,125,130,160,110,220,180,300,A
