Country of Citizenship,2015,2016,2017,2018,2019,2020,2021,2022,2023,first_letter
"Bahama Islands, The",445,685,785,820,865,525,810,780,725,B
Bahrain,25,45,45,30,30,20,50,45,40,B
Bangladesh,1400,1875,2945,4335,5080,3430,6860,7640,8830,B
Barbados,190,235,240,265,300,180,365,315,340,B
Belarus,45,60,40,55,70,40,70,80,100,B
Belgium,315,420,425,400,555,315,1200,790,680,B
Belize,60,90,85,80,75,50,75,75,85,B
"Benin, Republic of",420,405,370,390,515,350,470,640,1260,B
Bermuda,0,0,0,0,50,10,60,15,20,B
Bhutan,5,15,30,20,105,95,180,310,690,B
Bolivia,50,55,55,95,85,55,210,260,280,B
"Bonaire, Sin Eustatius And Saba",0,0,0,0,0,0,0,0,0,B
Bosnia-Herzegovina,15,25,10,20,35,20,75,65,65,B
"Botswana, Republic of",50,65,65,45,60,60,40,55,65,B
Brazil,6625,7735,9565,10950,10835,6520,8780,10680,9705,B
Brunei,0,5,10,10,10,0,10,15,20,B
Bulgaria,35,55,40,60,65,40,70,35,40,B
Burkina-Faso,365,365,385,425,590,470,685,775,970,B
Burundi,140,265,255,340,280,200,265,355,655,B
