Country of Citizenship,2015,2016,2017,2018,2019,2020,2021,2022,2023,first_letter
Gabon Republic,80,75,90,90,105,90,135,165,190,G
Gambia,50,60,55,65,85,50,105,115,180,G
Georgia,10,15,10,5,5,0,10,25,60,G
Germany,2060,2265,2250,2255,2305,815,5240,4305,2430,G
Ghana,810,895,935,880,1375,860,1275,2750,6310,G
Greece,140,190,200,175,175,140,195,170,150,G
Grenada,25,40,40,40,30,40,50,40,35,G
Guadeloupe,0,0,0,0,0,0,0,0,0,G
Guatemala,50,70,65,75,80,50,135,175,200,G
"Guinea, Republic of",190,300,300,365,485,350,775,1245,3040,G
Guinea-Bissau,0,0,0,0,0,0,0,0,0,G
Guyana,120,190,205,265,335,220,335,320,295,G
