Country of Citizenship,2015,2016,2017,2018,2019,2020,2021,2022,2023,first_letter
Namibia,10,10,10,10,5,10,0,10,15,N
Nepal,150,220,340,540,770,560,1825,6920,12295,N
"Netherlands Antilles, The",0,0,0,0,0,0,0,0,0,N
"Netherlands, The",280,335,355,385,340,160,525,380,325,N
New Caledonia,5,0,5,0,0,0,0,0,0,N
New Zealand,110,135,110,115,135,75,85,110,105,N
Nicaragua,10,10,25,25,60,10,85,115,115,N
"Niger, Republic of the",110,120,85,115,140,115,155,165,255,N
Nigeria,6610,6545,6300,6865,7820,6275,10105,16985,33600,N
Norway,165,155,170,140,140,40,120,100,90,N
