Country of Citizenship,2015,2016,2017,2018,2019,2020,2021,2022,2023,first_letter
Pakistan,2420,2715,2145,2145,2240,1685,3435,4050,4430,P
"Palau, Republic of",0,0,0,0,0,0,0,0,0,P
Palestinian Authority (Gaza/West Bank),85,120,130,150,175,140,210,210,185,P
"Panama, Republic of",110,115,150,415,210,165,330,480,350,P
Papua New Guinea,0,0,0,0,0,0,0,0,0,P
Paraguay,5,40,25,20,15,5,10,35,30,P
Peru,295,415,520,585,710,490,1735,3320,2955,P
Philippines,1950,3035,2910,4250,6480,4620,14800,25770,29690,P
Poland,185,190,175,180,185,95,190,175,150,P
Portugal,270,270,320,260,225,185,330,285,250,P
