Country of Citizenship,2015,2016,2017,2018,2019,2020,2021,2022,2023,first_letter
Saint-Martin,0,0,0,0,0,0,0,0,0,S
"Samoa, Independent State of",0,0,0,0,0,0,0,0,0,S
San Marino,0,0,0,0,0,0,0,0,0,S
Sao Tome and Principe,0,0,0,0,0,0,0,0,0,S
Saudi Arabia,8165,5815,5325,2960,1265,770,580,495,495,S
Senegal,775,735,735,830,1140,880,1625,2130,3565,S
"Serbia, Republic of",95,100,120,105,130,125,185,165,165,S
Seychelles,0,0,0,0,0,0,0,0,0,S
Sierra Leone,15,20,25,45,30,20,35,55,65,S
Singapore,320,290,320,330,360,230,395,445,415,S
Sint-Maarten,0,0,0,0,0,0,10,0,0,S
Slovak Republic,130,160,140,120,135,70,160,135,90,S
Slovenia,20,10,15,20,10,10,20,10,5,S
Solomon Islands,0,5,0,5,0,0,0,0,0,S
"Somalia, Democratic Republic of",20,80,85,70,60,40,20,10,0,S
"South Africa, Republic of",300,345,375,370,500,415,835,905,870,S
"South Sudan, Republic of",0,5,0,0,0,5,5,5,15,S
Spain,1110,1435,1615,1810,1925,605,2670,2770,2220,S
Sri Lanka,300,420,455,585,985,835,1915,3660,4525,S
St. Kitts-Nevis,35,35,45,50,40,40,45,60,45,S
St. Lucia,90,90,90,105,75,60,70,75,85,S
St. Vincent and the Grenadines,30,40,55,20,25,25,30,40,25,S
Stateless,75,80,110,110,120,90,110,125,145,S
"Sudan, Democratic Republic of",75,95,150,150,190,170,190,175,180,S
Surinam,10,10,15,0,10,5,0,15,10,S
Swaziland,0,5,5,0,0,0,15,5,0,S
Sweden,205,205,225,210,185,115,320,185,120,S
Switzerland,460,450,545,505,440,215,695,535,405,S
Syria,220,190,245,270,280,200,210,250,295,S
