Country of Citizenship,year 2015,year 2016,year 2017,year 2018,year 2019,year 2020,year 2021,year 2022,year 2023,first_letter
Afghanistan,year 2015: 95,year 2016: 115,year 2017: 95,year 2018: 80,year 2019: 95,year 2020: 90,year 2021: 80,year 2022: 170,year 2023: 140,A
Albania,year 2015: 115,year 2016: 165,year 2017: 185,year 2018: 245,year 2019: 375,year 2020: 250,year 2021: 305,year 2022: 345,year 2023: 545,A
Algeria,year 2015: 1060,year 2016: 845,year 2017: 1020,year 2018: 1490,year 2019: 2690,year 2020: 2170,year 2021: 3165,year 2022: 5360,year 2023: 7180,A
Andorra,year 2015: 0,year 2016: 0,year 2017: 0,year 2018: 0,year 2019: 0,year 2020: 0,year 2021: 10,year 2022: 5,year 2023: 0,A
Angola,year 2015: 65,year 2016: 80,year 2017: 40,year 2018: 25,year 2019: 120,year 2020: 30,year 2021: 50,year 2022: 75,year 2023: 65,A
Anguilla,year 2015: 0,year 2016: 0,year 2017: 0,year 2018: 0,year 2019: 0,year 2020: 0,year 2021: 0,year 2022: 0,year 2023: 0,A
Antigua and Barbuda,year 2015: 60,year 2016: 80,year 2017: 100,year 2018: 85,year 2019: 80,year 2020: 55,year 2021: 85,year 2022: 75,year 2023: 80,A
Argentina,year 2015: 160,year 2016: 180,year 2017: 200,year 2018: 230,year 2019: 275,year 2020: 190,year 2021: 585,year 2022: 620,year 2023: 530,A
Armenia,year 2015: 20,year 2016: 25,year 2017: 15,year 2018: 15,year 2019: 15,year 2020: 5,year 2021: 55,year 2022: 60,year 2023: 65,A
Aruba,year 2015: 0,year 2016: 0,year 2017: 0,year 2018: 0,year 2019: 0,year 2020: 0,year 2021: 0,year 2022: 0,year 2023: 0,A
Australia,year 2015: 480,year 2016: 490,year 2017: 490,year 2018: 470,year 2019: 415,year 2020: 260,year 2021: 360,year 2022: 360,year 2023: 395,A
Austria,year 2015: 110,year 2016: 150,year 2017: 120,year 2018: 145,year 2019: 135,year 2020: 60,year 2021: 300,year 2022: 235,year 2023: 110,A
Azerbaijan,year 2015: 70,year 2016: 115,year 2017: 125,year 2018: 130,year 2019: 160,year 2020: 110,year 2021: 220,year 2022: 180,year 2023: 300,A
