Country of Citizenship,year 2015,year 2016,year 2017,year 2018,year 2019,year 2020,year 2021,year 2022,year 2023,first_letter
"Bahama Islands, The",year 2015: 445,year 2016: 685,year 2017: 785,year 2018: 820,year 2019: 865,year 2020: 525,year 2021: 810,year 2022: 780,year 2023: 725,B
Bahrain,year 2015: 25,year 2016: 45,year 2017: 45,year 2018: 30,year 2019: 30,year 2020: 20,year 2021: 50,year 2022: 45,year 2023: 40,B
Bangladesh,year 2015: 1400,year 2016: 1875,year 2017: 2945,year 2018: 4335,year 2019: 5080,year 2020: 3430,year 2021: 6860,year 2022: 7640,year 2023: 8830,B
Barbados,year 2015: 190,year 2016: 235,year 2017: 240,year 2018: 265,year 2019: 300,year 2020: 180,year 2021: 365,year 2022: 315,year 2023: 340,B
Belarus,year 2015: 45,year 2016: 60,year 2017: 40,year 2018: 55,year 2019: 70,year 2020: 40,year 2021: 70,year 2022: 80,year 2023: 100,B
Belgium,year 2015: 315,year 2016: 420,year 2017: 425,year 2018: 400,year 2019: 555,year 2020: 315,year 2021: 1200,year 2022: 790,year 2023: 680,B
Belize,year 2015: 60,year 2016: 90,year 2017: 85,year 2018: 80,year 2019: 75,year 2020: 50,year 2021: 75,year 2022: 75,year 2023: 85,B
"Benin, Republic of",year 2015: 420,year 2016: 405,year 2017: 370,year 2018: 390,year 2019: 515,year 2020: 350,year 2021: 470,year 2022: 640,year 2023: 1260,B
Bermuda,year 2015: 0,year 2016: 0,year 2017: 0,year 2018: 0,year 2019: 50,year 2020: 10,year 2021: 60,year 2022: 15,year 2023: 20,B
Bhutan,year 2015: 5,year 2016: 15,year 2017: 30,year 2018: 20,year 2019: 105,year 2020: 95,year 2021: 180,year 2022: 310,year 2023: 690,B
Bolivia,year 2015: 50,year 2016: 55,year 2017: 55,year 2018: 95,year 2019: 85,year 2020: 55,year 2021: 210,year 2022: 260,year 2023: 280,B
"Bonaire, Sin Eustatius And Saba",year 2015: 0,year 2016: 0,year 2017: 0,year 2018: 0,year 2019: 0,year 2020: 0,year 2021: 0,year 2022: 0,year 2023: 0,B
Bosnia-Herzegovina,year 2015: 15,year 2016: 25,year 2017: 10,year 2018: 20,year 2019: 35,year 2020: 20,year 2021: 75,year 2022: 65,year 2023: 65,B
"Botswana, Republic of",year 2015: 50,year 2016: 65,year 2017: 65,year 2018: 45,year 2019: 60,year 2020: 60,year 2021: 40,year 2022: 55,year 2023: 65,B
Brazil,year 2015: 6625,year 2016: 7735,year 2017: 9565,year 2018: 10950,year 2019: 10835,year 2020: 6520,year 2021: 8780,year 2022: 10680,year 2023: 9705,B
Brunei,year 2015: 0,year 2016: 5,year 2017: 10,year 2018: 10,year 2019: 10,year 2020: 0,year 2021: 10,year 2022: 15,year 2023: 20,B
Bulgaria,year 2015: 35,year 2016: 55,year 2017: 40,year 2018: 60,year 2019: 65,year 2020: 40,year 2021: 70,year 2022: 35,year 2023: 40,B
Burkina-Faso,year 2015: 365,year 2016: 365,year 2017: 385,year 2018: 425,year 2019: 590,year 2020: 470,year 2021: 685,year 2022: 775,year 2023: 970,B
Burundi,year 2015: 140,year 2016: 265,year 2017: 255,year 2018: 340,year 2019: 280,year 2020: 200,year 2021: 265,year 2022: 355,year 2023: 655,B
