Country of Citizenship,year 2015,year 2016,year 2017,year 2018,year 2019,year 2020,year 2021,year 2022,year 2023,first_letter
Gabon Republic,year 2015: 80,year 2016: 75,year 2017: 90,year 2018: 90,year 2019: 105,year 2020: 90,year 2021: 135,year 2022: 165,year 2023: 190,G
Gambia,year 2015: 50,year 2016: 60,year 2017: 55,year 2018: 65,year 2019: 85,year 2020: 50,year 2021: 105,year 2022: 115,year 2023: 180,G
Georgia,year 2015: 10,year 2016: 15,year 2017: 10,year 2018: 5,year 2019: 5,year 2020: 0,year 2021: 10,year 2022: 25,year 2023: 60,G
Germany,year 2015: 2060,year 2016: 2265,year 2017: 2250,year 2018: 2255,year 2019: 2305,year 2020: 815,year 2021: 5240,year 2022: 4305,year 2023: 2430,G
Ghana,year 2015: 810,year 2016: 895,year 2017: 935,year 2018: 880,year 2019: 1375,year 2020: 860,year 2021: 1275,year 2022: 2750,year 2023: 6310,G
Greece,year 2015: 140,year 2016: 190,year 2017: 200,year 2018: 175,year 2019: 175,year 2020: 140,year 2021: 195,year 2022: 170,year 2023: 150,G
Grenada,year 2015: 25,year 2016: 40,year 2017: 40,year 2018: 40,year 2019: 30,year 2020: 40,year 2021: 50,year 2022: 40,year 2023: 35,G
Guadeloupe,year 2015: 0,year 2016: 0,year 2017: 0,year 2018: 0,year 2019: 0,year 2020: 0,year 2021: 0,year 2022: 0,year 2023: 0,G
Guatemala,year 2015: 50,year 2016: 70,year 2017: 65,year 2018: 75,year 2019: 80,year 2020: 50,year 2021: 135,year 2022: 175,year 2023: 200,G
"Guinea, Republic of",year 2015: 190,year 2016: 300,year 2017: 300,year 2018: 365,year 2019: 485,year 2020: 350,year 2021: 775,year 2022: 1245,year 2023: 3040,G
Guinea-Bissau,year 2015: 0,year 2016: 0,year 2017: 0,year 2018: 0,year 2019: 0,year 2020: 0,year 2021: 0,year 2022: 0,year 2023: 0,G
Guyana,year 2015: 120,year 2016: 190,year 2017: 205,year 2018: 265,year 2019: 335,year 2020: 220,year 2021: 335,year 2022: 320,year 2023: 295,G
