Country of Citizenship,year 2015,year 2016,year 2017,year 2018,year 2019,year 2020,year 2021,year 2022,year 2023,first_letter
Macau SAR,year 2015: 195,year 2016: 195,year 2017: 200,year 2018: 225,year 2019: 195,year 2020: 150,year 2021: 115,year 2022: 145,year 2023: 145,M
Macedonia,year 2015: 10,year 2016: 30,year 2017: 10,year 2018: 10,year 2019: 5,year 2020: 10,year 2021: 35,year 2022: 50,year 2023: 35,M
Madagascar,year 2015: 120,year 2016: 180,year 2017: 185,year 2018: 170,year 2019: 210,year 2020: 190,year 2021: 335,year 2022: 425,year 2023: 560,M
Malawi,year 2015: 10,year 2016: 20,year 2017: 20,year 2018: 25,year 2019: 20,year 2020: 15,year 2021: 25,year 2022: 45,year 2023: 45,M
Malaysia,year 2015: 625,year 2016: 655,year 2017: 670,year 2018: 690,year 2019: 655,year 2020: 425,year 2021: 590,year 2022: 645,year 2023: 560,M
"Maldives, Republic of",year 2015: 0,year 2016: 0,year 2017: 0,year 2018: 0,year 2019: 0,year 2020: 0,year 2021: 0,year 2022: 0,year 2023: 0,M
"Mali, Republic of",year 2015: 380,year 2016: 440,year 2017: 425,year 2018: 475,year 2019: 515,year 2020: 470,year 2021: 570,year 2022: 665,year 2023: 960,M
Malta,year 2015: 0,year 2016: 0,year 2017: 0,year 2018: 0,year 2019: 5,year 2020: 0,year 2021: 5,year 2022: 0,year 2023: 5,M
"Marshall Islands, Republic of the",year 2015: 0,year 2016: 0,year 2017: 0,year 2018: 0,year 2019: 0,year 2020: 0,year 2021: 0,year 2022: 0,year 2023: 0,M
Martinique,year 2015: 0,year 2016: 0,year 2017: 0,year 2018: 0,year 2019: 0,year 2020: 0,year 2021: 0,year 2022: 0,year 2023: 0,M
Mauritania,year 2015: 35,year 2016: 30,year 2017: 60,year 2018: 65,year 2019: 65,year 2020: 55,year 2021: 80,year 2022: 80,year 2023: 145,M
Mauritius,year 2015: 390,year 2016: 520,year 2017: 625,year 2018: 620,year 2019: 645,year 2020: 290,year 2021: 640,year 2022: 810,year 2023: 780,M
Mexico,year 2015: 4325,year 2016: 5040,year 2017: 5620,year 2018: 5905,year 2019: 6415,year 2020: 3920,year 2021: 10055,year 2022: 10670,year 2023: 10820,M
"Micronesia, Federated States of",year 2015: 0,year 2016: 0,year 2017: 0,year 2018: 0,year 2019: 0,year 2020: 0,year 2021: 0,year 2022: 0,year 2023: 0,M
Moldova,year 2015: 50,year 2016: 45,year 2017: 50,year 2018: 55,year 2019: 45,year 2020: 20,year 2021: 40,year 2022: 55,year 2023: 65,M
Monaco,year 2015: 5,year 2016: 0,year 2017: 0,year 2018: 0,year 2019: 0,year 2020: 0,year 2021: 0,year 2022: 0,year 2023: 0,M
"Mongolia, People's Republic of",year 2015: 120,year 2016: 165,year 2017: 140,year 2018: 145,year 2019: 150,year 2020: 90,year 2021: 200,year 2022: 260,year 2023: 360,M
"Montenegro, Republic of",year 2015: 5,year 2016: 0,year 2017: 0,year 2018: 0,year 2019: 0,year 2020: 0,year 2021: 50,year 2022: 45,year 2023: 70,M
Morocco,year 2015: 1510,year 2016: 1560,year 2017: 1815,year 2018: 2200,year 2019: 3150,year 2020: 2595,year 2021: 4415,year 2022: 4710,year 2023: 6210,M
Mozambique,year 2015: 5,year 2016: 0,year 2017: 5,year 2018: 5,year 2019: 10,year 2020: 0,year 2021: 30,year 2022: 30,year 2023: 40,M
Myanmar (Burma),year 2015: 25,year 2016: 25,year 2017: 30,year 2018: 40,year 2019: 120,year 2020: 65,year 2021: 225,year 2022: 430,year 2023: 550,M
