Country of Citizenship,year 2015,year 2016,year 2017,year 2018,year 2019,year 2020,year 2021,year 2022,year 2023,first_letter
Namibia,year 2015: 10,year 2016: 10,year 2017: 10,year 2018: 10,year 2019: 5,year 2020: 10,year 2021: 0,year 2022: 10,year 2023: 15,N
Nepal,year 2015: 150,year 2016: 220,year 2017: 340,year 2018: 540,year 2019: 770,year 2020: 560,year 2021: 1825,year 2022: 6920,year 2023: 12295,N
"Netherlands Antilles, The",year 2015: 0,year 2016: 0,year 2017: 0,year 2018: 0,year 2019: 0,year 2020: 0,year 2021: 0,year 2022: 0,year 2023: 0,N
"Netherlands, The",year 2015: 280,year 2016: 335,year 2017: 355,year 2018: 385,year 2019: 340,year 2020: 160,year 2021: 525,year 2022: 380,year 2023: 325,N
New Caledonia,year 2015: 5,year 2016: 0,year 2017: 5,year 2018: 0,year 2019: 0,year 2020: 0,year 2021: 0,year 2022: 0,year 2023: 0,N
New Zealand,year 2015: 110,year 2016: 135,year 2017: 110,year 2018: 115,year 2019: 135,year 2020: 75,year 2021: 85,year 2022: 110,year 2023: 105,N
Nicaragua,year 2015: 10,year 2016: 10,year 2017: 25,year 2018: 25,year 2019: 60,year 2020: 10,year 2021: 85,year 2022: 115,year 2023: 115,N
"Niger, Republic of the",year 2015: 110,year 2016: 120,year 2017: 85,year 2018: 115,year 2019: 140,year 2020: 115,year 2021: 155,year 2022: 165,year 2023: 255,N
Nigeria,year 2015: 6610,year 2016: 6545,year 2017: 6300,year 2018: 6865,year 2019: 7820,year 2020: 6275,year 2021: 10105,year 2022: 16985,year 2023: 33600,N
Norway,year 2015: 165,year 2016: 155,year 2017: 170,year 2018: 140,year 2019: 140,year 2020: 40,year 2021: 120,year 2022: 100,year 2023: 90,N
