Country of Citizenship,year 2015,year 2016,year 2017,year 2018,year 2019,year 2020,year 2021,year 2022,year 2023,first_letter
Pakistan,year 2015: 2420,year 2016: 2715,year 2017: 2145,year 2018: 2145,year 2019: 2240,year 2020: 1685,year 2021: 3435,year 2022: 4050,year 2023: 4430,P
"Palau, Republic of",year 2015: 0,year 2016: 0,year 2017: 0,year 2018: 0,year 2019: 0,year 2020: 0,year 2021: 0,year 2022: 0,year 2023: 0,P
Palestinian Authority (Gaza/West Bank),year 2015: 85,year 2016: 120,year 2017: 130,year 2018: 150,year 2019: 175,year 2020: 140,year 2021: 210,year 2022: 210,year 2023: 185,P
"Panama, Republic of",year 2015: 110,year 2016: 115,year 2017: 150,year 2018: 415,year 2019: 210,year 2020: 165,year 2021: 330,year 2022: 480,year 2023: 350,P
Papua New Guinea,year 2015: 0,year 2016: 0,year 2017: 0,year 2018: 0,year 2019: 0,year 2020: 0,year 2021: 0,year 2022: 0,year 2023: 0,P
Paraguay,year 2015: 5,year 2016: 40,year 2017: 25,year 2018: 20,year 2019: 15,year 2020: 5,year 2021: 10,year 2022: 35,year 2023: 30,P
Peru,year 2015: 295,year 2016: 415,year 2017: 520,year 2018: 585,year 2019: 710,year 2020: 490,year 2021: 1735,year 2022: 3320,year 2023: 2955,P
Philippines,year 2015: 1950,year 2016: 3035,year 2017: 2910,year 2018: 4250,year 2019: 6480,year 2020: 4620,year 2021: 14800,year 2022: 25770,year 2023: 29690,P
Poland,year 2015: 185,year 2016: 190,year 2017: 175,year 2018: 180,year 2019: 185,year 2020: 95,year 2021: 190,year 2022: 175,year 2023: 150,P
Portugal,year 2015: 270,year 2016: 270,year 2017: 320,year 2018: 260,year 2019: 225,year 2020: 185,year 2021: 330,year 2022: 285,year 2023: 250,P
