Country of Citizenship,year 2015,year 2016,year 2017,year 2018,year 2019,year 2020,year 2021,year 2022,year 2023,first_letter
Saint-Martin,year 2015: 0,year 2016: 0,year 2017: 0,year 2018: 0,year 2019: 0,year 2020: 0,year 2021: 0,year 2022: 0,year 2023: 0,S
"Samoa, Independent State of",year 2015: 0,year 2016: 0,year 2017: 0,year 2018: 0,year 2019: 0,year 2020: 0,year 2021: 0,year 2022: 0,year 2023: 0,S
San Marino,year 2015: 0,year 2016: 0,year 2017: 0,year 2018: 0,year 2019: 0,year 2020: 0,year 2021: 0,year 2022: 0,year 2023: 0,S
Sao Tome and Principe,year 2015: 0,year 2016: 0,year 2017: 0,year 2018: 0,year 2019: 0,year 2020: 0,year 2021: 0,year 2022: 0,year 2023: 0,S
Saudi Arabia,year 2015: 8165,year 2016: 5815,year 2017: 5325,year 2018: 2960,year 2019: 1265,year 2020: 770,year 2021: 580,year 2022: 495,year 2023: 495,S
Senegal,year 2015: 775,year 2016: 735,year 2017: 735,year 2018: 830,year 2019: 1140,year 2020: 880,year 2021: 1625,year 2022: 2130,year 2023: 3565,S
"Serbia, Republic of",year 2015: 95,year 2016: 100,year 2017: 120,year 2018: 105,year 2019: 130,year 2020: 125,year 2021: 185,year 2022: 165,year 2023: 165,S
Seychelles,year 2015: 0,year 2016: 0,year 2017: 0,year 2018: 0,year 2019: 0,year 2020: 0,year 2021: 0,year 2022: 0,year 2023: 0,S
Sierra Leone,year 2015: 15,year 2016: 20,year 2017: 25,year 2018: 45,year 2019: 30,year 2020: 20,year 2021: 35,year 2022: 55,year 2023: 65,S
Singapore,year 2015: 320,year 2016: 290,year 2017: 320,year 2018: 330,year 2019: 360,year 2020: 230,year 2021: 395,year 2022: 445,year 2023: 415,S
Sint-Maarten,year 2015: 0,year 2016: 0,year 2017: 0,year 2018: 0,year 2019: 0,year 2020: 0,year 2021: 10,year 2022: 0,year 2023: 0,S
Slovak Republic,year 2015: 130,year 2016: 160,year 2017: 140,year 2018: 120,year 2019: 135,year 2020: 70,year 2021: 160,year 2022: 135,year 2023: 90,S
Slovenia,year 2015: 20,year 2016: 10,year 2017: 15,year 2018: 20,year 2019: 10,year 2020: 10,year 2021: 20,year 2022: 10,year 2023: 5,S
Solomon Islands,year 2015: 0,year 2016: 5,year 2017: 0,year 2018: 5,year 2019: 0,year 2020: 0,year 2021: 0,year 2022: 0,year 2023: 0,S
"Somalia, Democratic Republic of",year 2015: 20,year 2016: 80,year 2017: 85,year 2018: 70,year 2019: 60,year 2020: 40,year 2021: 20,year 2022: 10,year 2023: 0,S
"South Africa, Republic of",year 2015: 300,year 2016: 345,year 2017: 375,year 2018: 370,year 2019: 500,year 2020: 415,year 2021: 835,year 2022: 905,year 2023: 870,S
"South Sudan, Republic of",year 2015: 0,year 2016: 5,year 2017: 0,year 2018: 0,year 2019: 0,year 2020: 5,year 2021: 5,year 2022: 5,year 2023: 15,S
Spain,year 2015: 1110,year 2016: 1435,year 2017: 1615,year 2018: 1810,year 2019: 1925,year 2020: 605,year 2021: 2670,year 2022: 2770,year 2023: 2220,S
Sri Lanka,year 2015: 300,year 2016: 420,year 2017: 455,year 2018: 585,year 2019: 985,year 2020: 835,year 2021: 1915,year 2022: 3660,year 2023: 4525,S
St. Kitts-Nevis,year 2015: 35,year 2016: 35,year 2017: 45,year 2018: 50,year 2019: 40,year 2020: 40,year 2021: 45,year 2022: 60,year 2023: 45,S
St. Lucia,year 2015: 90,year 2016: 90,year 2017: 90,year 2018: 105,year 2019: 75,year 2020: 60,year 2021: 70,year 2022: 75,year 2023: 85,S
St. Vincent and the Grenadines,year 2015: 30,year 2016: 40,year 2017: 55,year 2018: 20,year 2019: 25,year 2020: 25,year 2021: 30,year 2022: 40,year 2023: 25,S
Stateless,year 2015: 75,year 2016: 80,year 2017: 110,year 2018: 110,year 2019: 120,year 2020: 90,year 2021: 110,year 2022: 125,year 2023: 145,S
"Sudan, Democratic Republic of",year 2015: 75,year 2016: 95,year 2017: 150,year 2018: 150,year 2019: 190,year 2020: 170,year 2021: 190,year 2022: 175,year 2023: 180,S
Surinam,year 2015: 10,year 2016: 10,year 2017: 15,year 2018: 0,year 2019: 10,year 2020: 5,year 2021: 0,year 2022: 15,year 2023: 10,S
Swaziland,year 2015: 0,year 2016: 5,year 2017: 5,year 2018: 0,year 2019: 0,year 2020: 0,year 2021: 15,year 2022: 5,year 2023: 0,S
Sweden,year 2015: 205,year 2016: 205,year 2017: 225,year 2018: 210,year 2019: 185,year 2020: 115,year 2021: 320,year 2022: 185,year 2023: 120,S
Switzerland,year 2015: 460,year 2016: 450,year 2017: 545,year 2018: 505,year 2019: 440,year 2020: 215,year 2021: 695,year 2022: 535,year 2023: 405,S
Syria,year 2015: 220,year 2016: 190,year 2017: 245,year 2018: 270,year 2019: 280,year 2020: 200,year 2021: 210,year 2022: 250,year 2023: 295,S
